log_id,source_ip,destination_port,protocol,bytes_transferred,threat_level
10,10.0.0.100,STRING_PORT,FTP,4096,?
12,172.16.254.100,110,POP3,NEGATIVE,1
27,172.16.254.200,110,POP3,NON_NUMERIC,1
1,192.168.1.100,80,HTTP,1024,0
2,192.168.1.81,53,TLS,9765,0
3,192.168.1.147,80,SSH,1296,1
4,192.168.1.94,22,POP3,7185,0
5,192.168.1.55,110,DNS,5088,2
6,192.168.1.171,443,HTTPS,5989,2
7,192.168.1.196,22,SMTP,3166,2
8,192.168.1.67,443,HTTP,8279,1
9,192.168.1.66,22,SSH,6124,0
11,192.168.1.55,80,TLS,1003,1
13,192.168.1.84,80,DNS,4138,2
14,192.168.1.160,80,HTTP,7480,0
15,192.168.1.232,22,SMTP,6571,1
16,172.16.1.75,80,HTTP,1024,0
17,192.168.1.184,53,HTTP,6899,2
18,192.168.1.57,53,HTTPS,8014,2
19,192.168.1.64,110,POP3,1501,0
20,192.168.1.97,80,SSH,2965,2
21,192.168.1.55,25,DNS,1479,1
22,192.168.1.44,80,FTP,1629,2
23,192.168.1.166,22,HTTP,8243,1
24,192.168.1.220,53,UDP,6843,2
25,192.168.1.169,80,TLS,1215,0
26,192.168.1.168,80,SMTP,5966,1
28,192.168.1.247,22,DNS,2469,2
29,192.168.1.115,25,HTTP,5455,1
30,172.16.1.125,80,HTTP,1024,0
31,192.168.1.119,443,UNKNOWN,9513,2
32,192.168.1.62,110,HTTPS,6388,1
33,192.168.1.219,110,POP3,3057,1
34,192.168.1.203,443,SMTP,7564,2
35,192.168.1.200,STRING_PORT,FTP,4096,?
36,192.168.1.20,443,HTTP,7841,2
37,192.168.1.24,110,HTTP,5357,0
38,192.168.1.49,80,TLS,1676,1
39,192.168.1.228,110,POP3,3059,0
40,192.168.1.249,53,DNS,2090,0
41,10.0.0.300,25,SMTP,4096,0
42,192.168.1.237,53,UDP,4855,2
43,172.16.1.200,80,HTTP,1024,0
44,192.168.1.95,443,FTP,4993,1
45,192.168.1.61,110,HTTPS,498,0
46,192.168.1.135,80,POP3,4525,0
47,192.168.1.53,443,HTTP,2504,2
48,192.168.1.228,25,DNS,4310,0
49,192.168.1.112,443,SMTP,5450,0
50,192.168.1.33,53,UDP,5919,1
51,192.168.1.99,110,HTTP,2420,1
52,10.10.10.450,STRING_PORT,FTP,4096,?
53,192.168.1.247,110,TLS,4609,0
54,192.168.1.248,110,POP3,2224,1
55,192.168.1.249,53,HTTP,6022,1
56,,53,DNS,1024,0
57,192.168.1.9,22,SMTP,9659,2
58,192.168.1.475,,UDP,2048,1
59,192.168.1.126,80,HTTP,1252,1
60,192.168.1.155,80,FTP,4410,2
61,192.168.1.166,110,HTTPS,6158,2
62,192.168.1.77,110,POP3,4096,1
63,192.168.1.21,80,HTTP,1699,1
64,MISSING_IP,53,DNS,1024,0
65,192.168.1.53,110,SMTP,2846,2
66,192.168.1.600,UNUSED_PORT,UDP,2048,1
67,192.168.1.152,110,HTTP,5314,0
68,10.10.10.77,STRING_PORT,FTP,4096,?
69,192.168.1.68,110,TLS,8935,0
70,192.168.1.172,25,POP3,3264,1
71,192.168.1.32,80,HTTP,6991,2
72,MISSING_IP,53,DNS,1024,0
73,192.168.1.29,22,SMTP,2974,0
74,192.168.1.140,443,UDP,9390,0
75,172.16.1.400,80,HTTP,1024,0
76,192.168.1.244,443,FTP,4942,2
77,192.168.1.4,110,HTTPS,1054,0
78,192.168.1.43,443,POP3,7105,1
79,172.16.254.77,999999,HTTP,2048,1
80,192.168.1.72,25,DNS,4506,1
81,192.168.1.224,25,UNKNOWN,1161,1
82,192.168.1.40,110,UDP,4659,2
83,172.16.1.450,80,HTTP,1024,0
84,192.168.1.214,80,FTP,5726,0
85,192.168.1.240,443,SMTP,4993,1
86,192.168.1.204,443,POP3,1158,2
87,192.168.1.40,80,HTTP,7083,2
88,MISSING_IP,53,DNS,1024,0
89,10.10.10.700,443,TLS,512,1
90,192.168.1.125,25,UDP,5004,1
91,192.168.1.200,110,HTTP,2433,2
92,192.168.1.219,22,FTP,6949,1
93,INVALID_IP,110,POP3,4096,1
94,192.168.1.1050,53,DNS,NON_NUMERIC,0
95,192.168.1.174,80,HTTP,1649,2
96,MISSING_IP,25,SMTP,4096,1
97,192.168.1.60,80,HTTPS,4351,1
98,192.168.1.1100,UNUSED_PORT,UDP,2048,0
99,192.168.1.16,22,HTTP,9069,0
100,192.168.1.14,25,SMTP,1494,2
